fid,omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,lipas_id,lipas_tyyppikoodi,lipas_tyyppi_nimi_fi,lipas_nimi_fi,n,distance,feature_x,feature_y,nearest_x,nearest_y
1,Muu,Yksityinen / yhdistys,Pysakointi_liikeste,,Kaarina,Tuorlan esteetön luontopolku,Pysäköintialue,Avaruuspuisto Väisälä,,,,1,,,,,,,,,,
2,,,Luontotorni,,Lieto,Nautelankosken luonnonsuojelualueen polut / Aurajoen melontareitti,Näkötorni,Nautelankoski,,,,2,610047,204,Luontotorni,Nautelan lintutorni,1,11.2081682230777,251156.558738795,6721945.29509979,251147.2793,6721939.009
3,,,Taukopaikka,,Lieto,Ankka-Nautela luontopolku,Taukopaikka,,,,,3,,,,,,,,,,
4,,,Portaat,,Lieto,Vanhalinnan Ystävänpolku,Portaat,Vanhalinna,,,,4,,,,,,,,,,
5,,,Tulipaikka,,Lieto,Ankka-Nautela luontopolku,Laavu,Liesan maja,,,,5,,,,,,,,,,
6,,,Tulipaikka,Hamppukota ja tulipaikka,Lieto,Hämeen Härkätie,Kota,Parmaharju,,,,6,617759,301,"Laavu, kota tai kammi",Hamppukota,1,6.02137378508707,255896.511248687,6718069.0147056,255898.0727,6718074.8301
7,Kunta,Kunta / muu,Luontotorni,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Lintutorni,Järvelä,,,,7,611083,204,Luontotorni,Järvelän näköala- ja lintutorni,1,3.22288606224389,246292.610849377,6711691.87185586,246290.3762,6711689.5495
8,Kunta,Kunta / muu,Luontotorni,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Lintutorni,Järvelä,,,,7,606725,204,Luontotorni,Littoistenjärven lintutorni,2,139.553462019526,246292.610849377,6711691.87185586,246327.5,6711556.75
9,,,Taukopaikka,Katettu eväspöytä ja penkit,Lieto,Ankka-Nautela luontopolku,Taukopaikka,Poso,,,,8,,,,,,,,,,
10,,,Portaat,"Pitkät, puiset portaat",Lieto,Nautelankosken luonnonsuojelualueen polut / Aurajoen melontareitti,Portaat,Nautelankoski,,,,9,610047,204,Luontotorni,Nautelan lintutorni,1,19.0496393145214,251154.85681026,6721921.53129717,251147.2793,6721939.009
11,,,Vesillelasku,,Lieto,Aurajoen melontareitti,Laituri,Liedon Vanhalinna,,,,10,,,,,,,,,,
12,,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku,Pysäköintialue,Ankka,,,,11,,,,,,,,,,
13,,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku,Pysäköintialue,Pieneläinhautausmaa,,,,12,,,,,,,,,,
14,,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku / Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut,Pysäköintialue,Nautelankoski,,,,13,,,,,,,,,,
15,,,Pysakointialue,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Pysäköintialue,Järvelä,,,,14,102039,1330,Beachvolley-/rantalentopallokenttä,Järvelän beachvolleykenttä 1,1,36.6206230649558,246463.068788112,6711471.34295926,246468.9925,6711507.4813
16,,,Pysakointialue,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Pysäköintialue,Järvelä,,,,14,515024,1330,Beachvolley-/rantalentopallokenttä,Järvelän beachvolleykenttä 2,2,46.6421658463834,246463.068788112,6711471.34295926,246490.3138,6711509.2006
17,,,Pysakointialue,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Pysäköintialue,Järvelä,,,,14,100187,3230,Uimapaikka,Järvelän uimapaikka,3,64.1571562325925,246463.068788112,6711471.34295926,246442.8332,6711410.4606
18,,,Pysakointialue,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut,Pysäköintialue,Liedon Vanhalinna,,,,15,,,,,,,,,,
19,,,Pysakointialue,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Pysäköintialue,Liedon kaupungintalo,,,,16,610049,1130,Ulkokuntoilupaikka,Kaupungintalon ulkokuntosali,1,69.1599527795737,250326.315011634,6716563.12650024,250327.8189,6716632.2701
20,,,Pysakointialue,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Pysäköintialue,Liedon kaupungintalo,,,,16,611054,1310,Koripallokenttä,Laurin kentän koripalloalue,2,111.762758595293,250326.315011634,6716563.12650024,250412.0697,6716491.4533
21,,,Pysakointialue,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Pysäköintialue,Liedon kaupungintalo,,,,16,515006,1520,Luistelukenttä,Laurin luistelukenttä,3,154.59682116668,250326.315011634,6716563.12650024,250460.4121,6716486.197
22,,,Kahvila,Vanhalinna,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut,Kartanon päärakennus,Liedon Vanhalinna,Vanhalinnan palvelut,https://vanhalinna.fi/,,17,,,,,,,,,,
23,,,Kahvila,Nautelankosken museo,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Nautelankosken museo,Nautelankoski,Nautelankosken museon palvelut,https://www.liedonmuseo.fi/,,18,,,,,,,,,,
24,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros,Tammireittien opastaulu,Verkatehdas,,,,19,515003,1330,Beachvolley-/rantalentopallokenttä,Littoisten beachvolleykenttä,1,139.097077667312,247346.794172588,6710317.16522442,247251.3339,6710215.9954
25,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros,Tammireittien opastaulu,Saukonoja,,,,20,,,,,,,,,,
26,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros,Tammireittien opastaulu,Ilmaristen matkailutila,,,,21,,,,,,,,,,
27,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Littoistenjärven luontopolku,Tammireittien opastaulu,Järvelä,,,,22,100187,3230,Uimapaikka,Järvelän uimapaikka,1,33.7170289321608,246468.355126828,6711432.49396767,246442.8332,6711410.4606
28,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Littoistenjärven luontopolku,Tammireittien opastaulu,Järvelä,,,,22,611084,203,Veneilyn palvelupaikka,Littoistenjärven esteetön melontalaituri,2,45.9949900820188,246468.355126828,6711432.49396767,246472.7089,6711386.7055
29,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Littoistenjärven luontopolku,Tammireittien opastaulu,Järvelä,,,,22,102039,1330,Beachvolley-/rantalentopallokenttä,Järvelän beachvolleykenttä 1,3,74.9900410329554,246468.355126828,6711432.49396767,246468.9925,6711507.4813
30,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut / Hämeen Härkätie,Tammireittien opastaulu,Liedon Vanhalinna,,,,23,,,,,,,,,,
31,,,Opastaulu,,Lieto,Ankka-Nautela luontopolku,Tammireittien opastaulu,Ankan pysäköintialue,,,,24,,,,,,,,,,
32,,,Opastaulu,,Lieto,Ankka-Nautela luontopolku,Tammireittien opastaulu,Pieneläinhautausmaa,,,,25,,,,,,,,,,
33,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Tammireittien opastaulu,Nautelankoski,,,,26,,,,,,,,,,
34,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Hämeen Härkätie,Tammireittien opastaulu,Yliskulma,,,,27,,,,,,,,,,
35,,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Hämeen Härkätie,Tammireittien opastaulu,Liedon keskusta,,,,28,,,,,,,,,,
36,,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Littoisten verkatehdas,Littoinen,,,,29,515003,1330,Beachvolley-/rantalentopallokenttä,Littoisten beachvolleykenttä,1,196.010646565247,247263.093003273,6710411.65300158,247251.3339,6710215.9954
37,,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Kuoviluoto,Kuoviluoto,,,,30,,,,,,,,,,
38,,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Saukonojan vanha koulu,Saukonoja,,,,31,611056,301,"Laavu, kota tai kammi",Saukonojan kyläyhdistyksen laavu,1,44.9425414059951,254810.456653047,6715032.5309628,254841.5799,6715064.9528
39,,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Saukonojan vanha koulu,Saukonoja,,,,31,611057,1130,Ulkokuntoilupaikka,Saukonojan kuntoportaat,2,57.2678677214826,254810.456653047,6715032.5309628,254807.8113,6715089.7377
40,,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Saukonojan vanha koulu,Saukonoja,,,,31,515011,1520,Luistelukenttä,Saukonojan luistelukenttä,3,79.554827983948,254810.456653047,6715032.5309628,254734.7066,6715056.8394
41,,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Keppolan aitta,Saukonoja,,,,32,,,,,,,,,,
42,,,Silta,,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Nautelankosken silta,Nautelankoski,,,,33,,,,,,,,,,
43,,,Silta,,Lieto,Kuuden kunnanosan kierros,Kurkelantien silta,,,,,34,,,,,,,,,,
44,,,Silta,,Lieto,Kuuden kunnanosan kierros,Vääntelänkosken silta,Vääntelänkoski,,,,35,,,,,,,,,,
45,,,Silta,,Lieto,Kuuden kunnanosan kierros,Suomensilta,Yliskulma,,,,36,,,,,,,,,,
46,,,Luonnonnahtavyys,Vanha puu,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Frantsin piiskausmänty,Yliskulma,,,,37,,,,,,,,,,
47,,,Nahtavyys,,Lieto,Hämeen Härkätie,Parmaharju,Parmaharju,,,,38,619319,1190,Pulkkamäki,Parmaharjun pulkkamäki,1,65.5159293650993,255237.813682138,6718197.992348,255262.7163,6718258.591
48,,,Nahtavyys,,Lieto,Hämeen Härkätie,Parmaharju,Parmaharju,,,,38,77998,2120,Kuntosali,Parmaharjun kuntosali,2,102.965591768655,255237.813682138,6718197.992348,255261.5262,6718298.1903
49,,,Nahtavyys,,Lieto,Hämeen Härkätie,Viinamäen hautausmaa,Liedon keskusta,,,,39,,,,,,,,,,
50,,,Nahtavyys,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Pyhän Pietarin kirkko,Liedon keskusta,,,,40,610049,1130,Ulkokuntoilupaikka,Kaupungintalon ulkokuntosali,1,73.7366740973258,250262.466262103,6716666.41874312,250327.8189,6716632.2701
51,,,Silta,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Teilipolun riippusilta,Liedon keskusta,,,,41,,,,,,,,,,
52,,,Silta,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Lietniemen silta,Sillilä,,,,42,,,,,,,,,,
53,,,Nahtavyys,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Henrik Antinpojan hauta,Loukinainen,,,,43,,,,,,,,,,
54,,,Luonnonnahtavyys,Muinaislinna,Lieto,Vanhalinnan kulttuuri- ja luontopolut,Vanhalinnan Linnavuori,Vanhalinna,,,,44,,,,,,,,,,
55,,,Nahtavyys,,Lieto,Vanhalinnan kulttuuri- ja luontopolut,Viikinkivene Helka,Vanhalinna,,,,45,,,,,,,,,,
56,,,Kahvila,Kahvila Namia,Lieto,Kuuden kunnanosan kierros,Vilkkimäen meijeri,Vilkkimäki,,,,46,,,,,,,,,,
57,Kunta,Kunta / liikuntatoimi,Vesillelasku,,Lieto,Littoistenjärven melontareitti,Järvelän esteetön melontalaituri,Järvelä,Villa Järvelän palvelut,https://www.jarvela.fi/,,47,611084,203,Veneilyn palvelupaikka,Littoistenjärven esteetön melontalaituri,1,6.19620896978533,246478.267182695,6711389.44383875,246472.7089,6711386.7055
58,Kunta,Kunta / liikuntatoimi,Vesillelasku,,Lieto,Littoistenjärven melontareitti,Järvelän esteetön melontalaituri,Järvelä,Villa Järvelän palvelut,https://www.jarvela.fi/,,47,100187,3230,Uimapaikka,Järvelän uimapaikka,2,41.1979536292208,246478.267182695,6711389.44383875,246442.8332,6711410.4606
59,Kunta,Kunta / liikuntatoimi,Vesillelasku,,Lieto,Littoistenjärven melontareitti,Järvelän esteetön melontalaituri,Järvelä,Villa Järvelän palvelut,https://www.jarvela.fi/,,47,514106,3240,Talviuintipaikka,Villa Järvelä / Järvelän avanto,3,91.8917845866863,246478.267182695,6711389.44383875,246543.9682,6711325.1984
60,Kunta,,Rantautuminen,,Lieto,Littoistenjärven melontareitti,Kuoviluodon maihinnousuranta,Kuoviluoto,,,,48,,,,,,,,,,
61,Kunta,Kunta / tekninen toimi,Vesillelasku,,Paimio,Paimionjoen melontareitti,,Jokipuisto,,,,49,611830,1130,Ulkokuntoilupaikka,Jokipuiston kuntoportaat,1,133.633660329287,262289.501858736,6710151.78280445,262418.2286,6710187.6629
62,Kunta,Kunta / tekninen toimi,Vesillelasku,,Paimio,Paimionjoen melontareitti,,Jokipuisto,,,,49,600178,1130,Ulkokuntoilupaikka,Villen kuntokeidas,2,152.095536300263,262289.501858736,6710151.78280445,262441,6710165.25
63,Kunta,Kunta / tekninen toimi,Rantautuminen,,Paimio,Paimionjoen melontareitti,,,,,,50,611830,1130,Ulkokuntoilupaikka,Jokipuiston kuntoportaat,1,133.185614486853,262289.982757526,6710151.72668158,262418.2286,6710187.6629
64,Kunta,Kunta / tekninen toimi,Rantautuminen,,Paimio,Paimionjoen melontareitti,,,,,,50,600178,1130,Ulkokuntoilupaikka,Villen kuntokeidas,2,151.621527711251,262289.982757526,6710151.72668158,262441,6710165.25
65,Kunta,,Rantautuminen,,Paimio,,,,,,,51,,,,,,,,,,
66,Valtio,Kunta / tekninen toimi,Rantautuminen,,Paimio,,,,,,,52,,,,,,,,,,
67,Muu,Muu,Rantautuminen,Paimion seurakunnan leirikeskus,Paimio,,,,,,,53,,,,,,,,,,
68,Kunta,,Vesillelasku,,Paimio,,,,,,,54,,,,,,,,,,
69,Kunta,Muu,Rantautuminen,,Paimio,,,,,,,55,,,,,,,,,,
70,Kunta,Muu,Tulipaikka,,Paimio,,,,,,,56,,,,,,,,,,
71,Muu,Yksityinen / yhdistys,Opastaulu,Parantolan polku on pituudeltaan hieman yli 2 km ja viitoitettu selkein opastein. Polkua ylläpitää Parantolan metsät ry.Polu on osa Preitilän reittiä.,Paimio,,Parantolan polun ja Preitilän reitin lähtöpiste,,,,,57,,,,,,,,,,
72,Muu,Yksityinen / yhdistys,Nahtavyys,Parantolan metsän kunniataulu,Paimio,,,,,,,58,,,,,,,,,,
73,Muu,Yksityinen / yhdistys,Nahtavyys,Lemmenlammella näet Alvar Aallon suunnitteleman pumppaamon ja padon. Itse lampi on nykyisin tyhjä padon vuodettua.,Sauvo,,Lemmenlampi,,,,,59,,,,,,,,,,
74,Muu,Yksityinen / yhdistys,Tulipaikka,,Paimio,,Parantolan metsän laavu,,,,,60,,,,,,,,,,
75,Muu,Yksityinen / säätiö,Kahvila,Katso lisätietoja Parantolan ja ravintolan verkkosivuilta,Paimio,,Ravintola Toivo,,,https://paimiosanatorium.com/fi/syo-nuku/ravintola/,,61,,,,,,,,,,
76,Kunta,Kunta / tekninen toimi,Portaat,Myllymäen portaat,Paimio,,,,,,,62,,,,,,,,,,
77,Muu,Yksityinen / yhdistys,Opastaulu,,Paimio,,Paimion luontopolun lähtöpaikka,,,,,63,,,,,,,,,,
78,Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Turvemuseo,,,,,64,,,,,,,,,,
79,Muu,Yksityinen / yhdistys,Luonnonnahtavyys,,Paimio,,Suolampi,,,,,65,,,,,,,,,,
80,Kunta,Kunta / tekninen toimi,Silta,,Paimio,,Järvessuon silta,,,,,66,,,,,,,,,,
81,Muu,Kunta / tekninen toimi,Luontotorni,,Paimio,,Kuhankuonon näkötorni,,,,,67,,,,,,,,,,
82,Muu,Yksityinen / yhdistys,Tulipaikka,,Paimio,,Paimion luontopolun kota,,,,,68,,,,,,,,,,
83,Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Muinaisranta,,,,,69,,,,,,,,,,
84,Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Korpelan korsu,,,,,70,,,,,,,,,,
85,Muu,Yksityinen / yhdistys,Luonnonnahtavyys,,Paimio,,Yhteenkasvaneet männyt,,,,,71,,,,,,,,,,
86,Muu,Yksityinen / yhdistys,Pysakointialue,,Paimio,,Paimion luontopolun pysäköintialue,,,,,72,,,,,,,,,,
87,Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Näköala Paimion Parantolalle,,,,,73,,,,,,,,,,
88,Kunta,Kunta / tekninen toimi,Tulipaikka,Grilli,Paimio,,Hiekkahelmi,,,,,74,513259,3220,Uimaranta,Hiekkahelmi,1,30.2106507724166,263007.857059118,6705541.32760014,263036.0964,6705552.0618
89,Kunta,Kunta / tekninen toimi,Tulipaikka,Grilli,Paimio,,Hiekkahelmi,,,,,74,514952,1330,Beachvolley-/rantalentopallokenttä,Hiekkahelmen beachvolleykenttä,2,59.3076046259986,263007.857059118,6705541.32760014,263062.7653,6705563.7436
90,Kunta,Kunta / tekninen toimi,Kuivakaymala,Kemiallinen käymälä / esteetön käymälä,Paimio,,Hiekkahelmi,,,,,75,513259,3220,Uimaranta,Hiekkahelmi,1,42.0657234329543,263005.403022554,6705580.82708583,263036.0964,6705552.0618
91,Kunta,Kunta / tekninen toimi,Kuivakaymala,Kemiallinen käymälä / esteetön käymälä,Paimio,,Hiekkahelmi,,,,,75,514952,1330,Beachvolley-/rantalentopallokenttä,Hiekkahelmen beachvolleykenttä,2,59.8521207806772,263005.403022554,6705580.82708583,263062.7653,6705563.7436
92,Kunta,Kunta / tekninen toimi,Pysakointialue,Hiekkahelmen pysäköintialue,Paimio,,,Hiekkahelmi,,,,76,513259,3220,Uimaranta,Hiekkahelmi,1,103.160220174156,263007.783834585,6705651.26073984,263036.0964,6705552.0618
93,Kunta,Kunta / tekninen toimi,Pysakointialue,Hiekkahelmen pysäköintialue,Paimio,,,Hiekkahelmi,,,,76,514952,1330,Beachvolley-/rantalentopallokenttä,Hiekkahelmen beachvolleykenttä,2,103.354783661007,263007.783834585,6705651.26073984,263062.7653,6705563.7436
94,Kunta,Kunta / tekninen toimi,Pysakointi_liikeste,Hiekkahelmentie 41,Paimio,,Hiekkahelmi,,,,,77,513259,3220,Uimaranta,Hiekkahelmi,1,67.3960589757148,262976.50976607,6705583.55246246,263036.0964,6705552.0618
95,Kunta,Kunta / tekninen toimi,Pysakointi_liikeste,Hiekkahelmentie 41,Paimio,,Hiekkahelmi,,,,,77,514952,1330,Beachvolley-/rantalentopallokenttä,Hiekkahelmen beachvolleykenttä,2,88.5008935867051,262976.50976607,6705583.55246246,263062.7653,6705563.7436
96,Muu,Muu,Nahtavyys,,Paimio,,Askalan vesivoimalaitos,,,,,78,,,,,,,,,,
97,Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Askalan ketoalue ja ketotalo,,,,,79,,,,,,,,,,
98,Muu,Muu,Nahtavyys,,Paimio,,Askalan vesivoimalaitoksen pato,,,,,80,,,,,,,,,,
99,Muu,Muu,Nakoala,,Paimio,,Rukkijoen kylämiljöö,,,,,81,,,,,,,,,,
100,Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Näkymä Paimionjoelle Isosillalta,,,,,82,80651,2150,Liikuntasali,Jokelan koulun liikuntasali,1,111.628889772721,262347.127609974,6710646.87957185,262443.9086,6710591.2518
101,Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Näkymä Paimionjoelle Isosillalta,,,,,82,86131,1340,Pallokenttä,Paimion Jokelan koulun pallokenttä,2,132.476306679187,262347.127609974,6710646.87957185,262447.8287,6710560.8025
102,Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Näkymä Paimionjoelle Isosillalta,,,,,82,505102,1520,Luistelukenttä,Jokelan koulun luistelukenttä,3,134.691013571542,262347.127609974,6710646.87957185,262450.5747,6710560.622
103,Kunta,Kunta / tekninen toimi,Silta,,Paimio,,Isosilta,,,,,83,80651,2150,Liikuntasali,Jokelan koulun liikuntasali,1,82.3172809548693,262381.338574839,6710644.74130079,262443.9086,6710591.2518
104,Kunta,Kunta / tekninen toimi,Silta,,Paimio,,Isosilta,,,,,83,86131,1340,Pallokenttä,Paimion Jokelan koulun pallokenttä,2,107.082487001927,262381.338574839,6710644.74130079,262447.8287,6710560.8025
105,Kunta,Kunta / tekninen toimi,Silta,,Paimio,,Isosilta,,,,,83,505102,1520,Luistelukenttä,Jokelan koulun luistelukenttä,3,108.948142678983,262381.338574839,6710644.74130079,262450.5747,6710560.622
106,Muu,Muu,Nakoala,,Paimio,,Postinkujan idyllinen asuinalue,,,,,84,614868,1390,Padelkenttä,Padel Jokipuisto / Puisto-kenttä,1,126.573260977331,262512.482305094,6710423.70700485,262445.7274,6710316.1683
107,Muu,Muu,Nakoala,,Paimio,,Postinkujan idyllinen asuinalue,,,,,84,607734,1390,Padelkenttä,Padel Jokipuisto / Joki-kenttä,2,132.91535140638,262512.482305094,6710423.70700485,262434.3473,6710316.183
108,Muu,Muu,Nakoala,,Paimio,,Postinkujan idyllinen asuinalue,,,,,84,505102,1520,Luistelukenttä,Jokelan koulun luistelukenttä,3,150.260665065891,262512.482305094,6710423.70700485,262450.5747,6710560.622
109,Muu,Muu,Nakoala,Nakolinna on korkealla mäen päällä sijainnut muinaislinna. Mäeltä on hieno näkymä Paimionjokilaaksoon. Mäelle ei ole merkittyä reittiä.,Paimio,,Nakolinna,,,,,85,,,,,,,,,,
110,Kunta,Kunta / tekninen toimi,Opastaulu,"Jokipuisto, entinen saha, Tammireitit",Paimio,,Jokipuisto,,,,,86,611830,1130,Ulkokuntoilupaikka,Jokipuiston kuntoportaat,1,55.3460161199459,262362.974380722,6710184.47656161,262418.2286,6710187.6629
111,Kunta,Kunta / tekninen toimi,Opastaulu,"Jokipuisto, entinen saha, Tammireitit",Paimio,,Jokipuisto,,,,,86,600178,1130,Ulkokuntoilupaikka,Villen kuntokeidas,2,80.3595540981904,262362.974380722,6710184.47656161,262441,6710165.25
112,Kunta,Kunta / tekninen toimi,Opastaulu,"Jokipuisto, entinen saha, Tammireitit",Paimio,,Jokipuisto,,,,,86,607734,1390,Padelkenttä,Padel Jokipuisto / Joki-kenttä,3,149.80213456667,262362.974380722,6710184.47656161,262434.3473,6710316.183
113,Kunta,Kunta / tekninen toimi,Nahtavyys,Kohiseva on koski Vähäjoessa. Vanhan myllypadon kivimuuri on nähtävissä.,Paimio,,Kohiseva,,,,,87,,,,,,,,,,
114,Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Vähäjokipolku,,,,,88,,,,,,,,,,
115,Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Vähäjokipolku,,,,,89,,,,,,,,,,
116,Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Jokipuisto,,,,,90,611830,1130,Ulkokuntoilupaikka,Jokipuiston kuntoportaat,1,65.6205124456318,262357.672411997,6710162.38445566,262418.2286,6710187.6629
117,Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Jokipuisto,,,,,90,600178,1130,Ulkokuntoilupaikka,Villen kuntokeidas,2,83.3768449079824,262357.672411997,6710162.38445566,262441,6710165.25
118,Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Jokipuisto,,,,,90,607734,1390,Padelkenttä,Padel Jokipuisto / Joki-kenttä,3,171.851769530637,262357.672411997,6710162.38445566,262434.3473,6710316.183
119,Muu,Muu,Nakoala,,Paimio,,Näköala Paimionjoelle Juntolassa,,,,,91,,,,,,,,,,
