fid,omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,lipas_id,lipas_tyyppikoodi,lipas_tyyppi_nimi_fi,lipas_nimi_fi,n,distance,feature_x,feature_y,nearest_x,nearest_y
120,Kunta,Kunta / muu,Opastaulu,,Paimio,,Paimion kotiseutumuseo,,,,,92,513266,3240,Talviuintipaikka,Oinilan maauimalan talviuintipaikka,1,153.851339934701,263096.72849276,6712470.4824152,263244.7188,6712428.4217
121,Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Muurahaispolku,,,,,93,513266,3240,Talviuintipaikka,Oinilan maauimalan talviuintipaikka,1,166.014561337131,263090.086364071,6712488.83398629,263244.7188,6712428.4217
122,Kunta,Kunta / muu,Nahtavyys,,Paimio,,Paimion kotiseutumuseo ja kesäteatteri,,,,,94,,,,,,,,,,
123,Kunta,Kunta / tekninen toimi,Uimaranta,,Paimio,,Ankkalammen maauimala,,,,,95,100120,3220,Uimaranta,Oinilan maauimala,1,111.977823879773,263329.815249749,6712207.85665009,263293.388,6712313.7438
124,Kunta,Kunta / tekninen toimi,Uimaranta,,Paimio,,Ankkalammen maauimala,,,,,95,611185,1130,Ulkokuntoilupaikka,Oinilan ulkokuntosali,2,146.613252273691,263329.815249749,6712207.85665009,263309.332,6712353.032
125,Kunta,Kunta / tekninen toimi,Uimaranta,,Paimio,,Ankkalammen maauimala,,,,,95,503323,1520,Luistelukenttä,Oinilan kenttä,3,170.988364401256,263329.815249749,6712207.85665009,263416.6941,6712355.1288
126,Kunta,Kunta / muu,Pysakointialue,,Paimio,,Kotiseutumuseo ja Muurahaispolku,,,,,96,513266,3240,Talviuintipaikka,Oinilan maauimalan talviuintipaikka,1,195.013707363087,263065.728116963,6712505.83411144,263244.7188,6712428.4217
127,Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Ankkalammen maauimala,,,,,97,100120,3220,Uimaranta,Oinilan maauimala,1,129.399018135413,263308.610872756,6712185.24333292,263293.388,6712313.7438
128,Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Ankkalammen maauimala,,,,,97,611185,1130,Ulkokuntoilupaikka,Oinilan ulkokuntosali,2,167.79021671229,263308.610872756,6712185.24333292,263309.332,6712353.032
129,Kunta,Kunta / tekninen toimi,Kuivakaymala,WC avoinna kesäpäivisin,Paimio,,Ankkalammen maauimala,,,,,98,100120,3220,Uimaranta,Oinilan maauimala,1,144.172831287294,263367.569563902,6712190.11976974,263293.388,6712313.7438
130,Kunta,Kunta / tekninen toimi,Kuivakaymala,WC avoinna kesäpäivisin,Paimio,,Ankkalammen maauimala,,,,,98,503323,1520,Luistelukenttä,Oinilan kenttä,2,172.166199107732,263367.569563902,6712190.11976974,263416.6941,6712355.1288
131,Kunta,Kunta / tekninen toimi,Kuivakaymala,WC avoinna kesäpäivisin,Paimio,,Ankkalammen maauimala,,,,,98,86132,1340,Pallokenttä,Oinilan hiekkakenttä,3,172.797807939384,263367.569563902,6712190.11976974,263419.4387,6712354.949
132,Kunta,Kunta / tekninen toimi,Tulipaikka,Jokipuiston huvimaja ja tulentekopaikka,Paimio,,Jokipuisto,,,,,99,611830,1130,Ulkokuntoilupaikka,Jokipuiston kuntoportaat,1,149.053235129363,262282.32483585,6710126.44988021,262418.2286,6710187.6629
133,Kunta,Kunta / tekninen toimi,Tulipaikka,Jokipuiston huvimaja ja tulentekopaikka,Paimio,,Jokipuisto,,,,,99,600178,1130,Ulkokuntoilupaikka,Villen kuntokeidas,2,163.350105644871,262282.32483585,6710126.44988021,262441,6710165.25
134,Muu,Muu,Kahvila,Katso aukioloajat leipomo-kahvilan omilta verkkosivuilta,Paimio,,Cafe Asta,,,https://www.cafeasta.fi/,,100,608417,2110,Kuntokeskus,Voimakas Sali,1,140.199278079516,262897.282873978,6710119.44340858,262896,6709979.25
135,Muu,Muu,Kahvila,Katso aukioloajat kioskin omilta verkkosivuilta,Paimio,,R-kioski,,,https://www.r-kioski.fi/kioskit/paimio-asematie-2/,,101,608417,2110,Kuntokeskus,Voimakas Sali,1,135.778549668533,262884.759751715,6710114.56249524,262896,6709979.25
136,Muu,Muu,Kahvila,Katso aukioloajat kahvilan omilta verkkosivuilta,Paimio,,,,,https://www.cafeatsalea.fi/,,102,,,,,,,,,,
137,Muu,Yksityinen / yhdistys,Opastaulu,Oinilan Jokipolku on noin 2 km pitkä opastettu reitti Paimionjoen rantamilla.,Paimio,,Oinilan Jokipolun lähtöpaikka,,,,,103,,,,,,,,,,
138,Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Oinilan Jokipolku,,,,,104,,,,,,,,,,
139,Kunta,Kunta / tekninen toimi,Nahtavyys,Paimion Jokipuistossa on monenlaista nähtävää,Paimio,,Paimion Jokipuisto,,,,,105,611830,1130,Ulkokuntoilupaikka,Jokipuiston kuntoportaat,1,61.824910864123,262358.447218613,6710171.89882556,262418.2286,6710187.6629
140,Kunta,Kunta / tekninen toimi,Nahtavyys,Paimion Jokipuistossa on monenlaista nähtävää,Paimio,,Paimion Jokipuisto,,,,,105,600178,1130,Ulkokuntoilupaikka,Villen kuntokeidas,2,82.8200977787651,262358.447218613,6710171.89882556,262441,6710165.25
141,Kunta,Kunta / tekninen toimi,Nahtavyys,Paimion Jokipuistossa on monenlaista nähtävää,Paimio,,Paimion Jokipuisto,,,,,105,607734,1390,Padelkenttä,Padel Jokipuisto / Joki-kenttä,3,163.029890963038,262358.447218613,6710171.89882556,262434.3473,6710316.183
142,Kunta,Kunta / tekninen toimi,Kuivakaymala,Jokipuiston WC avoinna toukokuun puolesta välistä syyskuun puoleen väliin aamusta iltaan.,Paimio,,Jokipuistp,,,,,106,611830,1130,Ulkokuntoilupaikka,Jokipuiston kuntoportaat,1,26.3306207785316,262433.143240197,6710209.3620958,262418.2286,6710187.6629
143,Kunta,Kunta / tekninen toimi,Kuivakaymala,Jokipuiston WC avoinna toukokuun puolesta välistä syyskuun puoleen väliin aamusta iltaan.,Paimio,,Jokipuistp,,,,,106,600178,1130,Ulkokuntoilupaikka,Villen kuntokeidas,2,44.8063128419828,262433.143240197,6710209.3620958,262441,6710165.25
144,Kunta,Kunta / tekninen toimi,Kuivakaymala,Jokipuiston WC avoinna toukokuun puolesta välistä syyskuun puoleen väliin aamusta iltaan.,Paimio,,Jokipuistp,,,,,106,607734,1390,Padelkenttä,Padel Jokipuisto / Joki-kenttä,3,106.827689922173,262433.143240197,6710209.3620958,262434.3473,6710316.183
145,Muu,Yksityinen / yhdistys,Nahtavyys,"Paimion parantolaa ympäröivät upeat metsät on turvattu paikallisen, Parantolan metsät ry toimesta vuonna 2019.",Paimio,,Parantolan metsä,,,,,107,,,,,,,,,,
146,Kunta,Kunta / tekninen toimi,Opastaulu,Hiekkahelmen alueen reittien opastaulut,Paimio,,,Hiekkahelmi,,,,108,514952,1330,Beachvolley-/rantalentopallokenttä,Hiekkahelmen beachvolleykenttä,1,77.8422252923637,263033.256645692,6705635.77589386,263062.7653,6705563.7436
147,Kunta,Kunta / tekninen toimi,Opastaulu,Hiekkahelmen alueen reittien opastaulut,Paimio,,,Hiekkahelmi,,,,108,513259,3220,Uimaranta,Hiekkahelmi,2,83.7622451704546,263033.256645692,6705635.77589386,263036.0964,6705552.0618
148,Kunta,Kunta / tekninen toimi,Uimaranta,Hiekkahelmen uimaranta,Paimio,,Hiekkahelmi,,,,,109,513259,3220,Uimaranta,Hiekkahelmi,1,4.34670910337397,263031.866416322,6705551.0612411,263036.0964,6705552.0618
149,Kunta,Kunta / tekninen toimi,Uimaranta,Hiekkahelmen uimaranta,Paimio,,Hiekkahelmi,,,,,109,514952,1330,Beachvolley-/rantalentopallokenttä,Hiekkahelmen beachvolleykenttä,2,33.4003478999364,263031.866416322,6705551.0612411,263062.7653,6705563.7436
150,Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Helmi MTB,,,,,110,,,,,,,,,,
151,Muu,Kunta / tekninen toimi,Nakoala,,Paimio,,,,,,,111,,,,,,,,,,
152,Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,,,,,,112,,,,,,,,,,
153,Muu,Muu,Kahvila,Katso aukioloajat palveluntarjoajan verkkosivuilta,Paimio,,Neste Paimio,,,https://www.neste.fi/asema/neste-k-paimio,,113,,,,,,,,,,
154,Muu,Muu,Kahvila,Katso aukioloajat Iivarin verkkosivuilta,Paimio,,Iivari cafe & bistro,,,https://www.iivaricafe.fi/,,114,,,,,,,,,,
155,Muu,Muu,Kahvila,Katso lisätietoja Heimon grillin verkkosivuilta,Paimio,,Heimon grilli,,,https://www.facebook.com/heimongrilli/?locale=fi_FI,,115,608417,2110,Kuntokeskus,Voimakas Sali,1,199.771906310927,262777.77162609,6710140.28063731,262896,6709979.25
156,Muu,Muu,Kahvila,,Paimio,,Tadim kebab & pizzeria,,,,,116,82047,2150,Liikuntasali,Koulukeskuksen liikuntasali 2,1,58.2681032777332,262994.735951617,6709951.28256223,263024.6332,6709901.2693
157,Muu,Muu,Kahvila,,Paimio,,Tadim kebab & pizzeria,,,,,116,524804,1120,Lähiliikuntapaikka,Paimion koulukeskuksen lähiliikuntapaikka,2,91.627624575852,262994.735951617,6709951.28256223,263029.9581,6709866.6952
158,Muu,Muu,Kahvila,,Paimio,,Tadim kebab & pizzeria,,,,,116,608417,2110,Kuntokeskus,Voimakas Sali,3,102.620493651151,262994.735951617,6709951.28256223,262896,6709979.25
159,Muu,Muu,Kahvila,,Paimio,,Kulman kuppila,,,,,117,,,,,,,,,,
160,Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Urheilupuisto,,,,,118,514954,1340,Pallokenttä,Paimion urheilupuiston pallokenttä,1,32.5313435060381,263225.206246285,6708904.85757081,263235.3398,6708873.9448
161,Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Urheilupuisto,,,,,118,76508,1520,Luistelukenttä,Urheilupuiston luistelualue,2,34.5868477864044,263225.206246285,6708904.85757081,263230.8982,6708870.7423
162,Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Urheilupuisto,,,,,118,616582,1370,Tenniskenttä,Paimion urheilupuiston tenniskenttä 2,3,81.2512751554598,263225.206246285,6708904.85757081,263250.2285,6708827.5552
163,Muu,Kunta / tekninen toimi,Opastaulu,,Paimio,,,,,,,119,,,,,,,,,,
164,Muu,Kunta / tekninen toimi,Opastaulu,,Paimio,,Hiihtoputki Finnfoam Paippi,,,,,120,98159,4220,Hiihtotunneli,Hiihtotunneli Paippi,1,15.7782709699176,264314.820590709,6706424.70857363,264299.1058,6706426.1225
165,Muu,Yksityinen / yhdistys,Opastaulu,,Paimio,,Rekottilan linnavuori,,,,,121,,,,,,,,,,
166,Muu,Muu,Pysakointialue,,Paimio,,Rekottilan linnavuori,,,,,122,,,,,,,,,,
167,Muu,Yksityinen / yhdistys,Nahtavyys,Rekottilan linnavuorella on nähtävissä muinaislinnan jäänteitä ja hautaröykkiöitä,Paimio,,Rekottilan linnavuori,,,,,123,,,,,,,,,,
168,Muu,Yksityinen / yhdistys,Nahtavyys,Sukselan kyläkoulu on nykyisin Sukselan kyläyhdistyksen omistama,Paimio,,Sukselan vanha kyläkoulu ja Sukselan nurmikenttä,,,,,124,83536,1340,Pallokenttä,Sukselan nurmikenttä,1,84.177984178894,262609.503697562,6715604.40939781,262552.5813,6715666.4237
169,Muu,Yksityinen / yhdistys,Nahtavyys,Sukselan kyläkoulu on nykyisin Sukselan kyläyhdistyksen omistama,Paimio,,Sukselan vanha kyläkoulu ja Sukselan nurmikenttä,,,,,124,101661,1320,Lentopallokenttä,Sukselan lentopallokenttä,2,123.391815739645,262609.503697562,6715604.40939781,262492.824,6715644.5515
170,Säätiö,Yksityinen / säätiö,Nahtavyys,Lisätietoja parantolasta saat parantolan vekrkosivuilta,Paimio,,Paimion parantola / Paimio sanatorium,,,https://paimiosanatorium.com/fi/etusivu/,,125,,,,,,,,,,
171,Säätiö,Yksityinen / säätiö,Pysakointialue,,Paimio,,"Parantolan metsän, polun ja Preitilän reitin pysäköintialue",,,,,126,,,,,,,,,,
172,Kunta,Kunta / tekninen toimi,Opastaulu,Paimion frisbeegolfpuistossa on täysimittainen 18 -väyläinen rata sekä 6 väyläinen multigolfrata,Paimio,,Paimio Disc Golf Park,,,,,127,611186,1180,Frisbeegolfrata,Paimio MultiGolfPark,1,11.399417538691,264803.248570586,6709828.12431544,264807.8894,6709838.5363
173,Kunta,Kunta / tekninen toimi,Opastaulu,Paimion frisbeegolfpuistossa on täysimittainen 18 -väyläinen rata sekä 6 väyläinen multigolfrata,Paimio,,Paimio Disc Golf Park,,,,,127,506993,1180,Frisbeegolfrata,Paimio DiscGolfPark,2,43.378777421912,264803.248570586,6709828.12431544,264822.1708,6709867.1585
174,Kunta,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Spurilan muinaisjäännösalue,,,,,128,,,,,,,,,,
175,Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Varasvuoren hyppyrimäet,,,,,129,91856,4320,Hyppyrimäki,Varasvuoren hyppyrimäki K58,1,12.8166584481215,264672.352439482,6710497.70500204,264685.1602,6710498.1825
176,Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Varasvuoren hyppyrimäet,,,,,129,91839,4320,Hyppyrimäki,Varasvuoren hyppyrimäet K29/K15/K8,2,60.8751270801273,264672.352439482,6710497.70500204,264660.7257,6710557.4595
177,Kunta,Kunta / muu,Infopiste,Kaupungin matkailuneuvonta muulloin kuin kesäaikaan,Paimio,,Kaupungintalo ja kirjasto,,,www.paimio.fi / https://visitpaimio.fi/,,130,82047,2150,Liikuntasali,Koulukeskuksen liikuntasali 2,1,122.776276306174,263146.863503707,6709912.83506323,263024.6332,6709901.2693
178,Kunta,Kunta / muu,Infopiste,Kaupungin matkailuneuvonta muulloin kuin kesäaikaan,Paimio,,Kaupungintalo ja kirjasto,,,www.paimio.fi / https://visitpaimio.fi/,,130,524804,1120,Lähiliikuntapaikka,Paimion koulukeskuksen lähiliikuntapaikka,2,125.681185526153,263146.863503707,6709912.83506323,263029.9581,6709866.6952
179,Kunta,Kunta / muu,Infopiste,Kaupungin matkailuneuvonta muulloin kuin kesäaikaan,Paimio,,Kaupungintalo ja kirjasto,,,www.paimio.fi / https://visitpaimio.fi/,,130,78540,2120,Kuntosali,Paimion uimahallin kuntosali Kolina,3,140.220129125771,263146.863503707,6709912.83506323,263083.1957,6709787.9027
180,Kunta,Kunta / muu,Infopiste,,Paimio,,Paimion matkailuneuvonta kesäaikaan,,,www.paimio.fi / https://visitpaimio.fi/,,131,,,,,,,,,,
181,Säätiö,Yksityinen / säätiö,Nahtavyys,Katso lisätietoja kaupungin verkkosivuilta,Paimio,,Käsityömuseo Miila,,,https://www.paimio.fi/kulttuuri-ja-vapaa-aika/museot/kasityomuseo-miila/,,132,,,,,,,,,,
182,Kunta,Kunta / muu,Nahtavyys,Sähkötekniikan erikoismuseo Paimion Sähkömuseo sijaitsee Paimion keskustassa.,Paimio,,Paimion sähkömuseo,,,https://www.paimio.fi/kulttuuri-ja-vapaa-aika/museot/paimion-sahkomuseo/,,133,,,,,,,,,,
183,Muu,Muu,Nahtavyys,,Paimio,,"Paimion kirkko, eli Pyhän Mikaelin kirkko",,,https://www.paimionseurakunta.fi/kirkot-ja-tilat/paimion-kirkko,,134,78540,2120,Kuntosali,Paimion uimahallin kuntosali Kolina,1,74.0879296615444,263150.580325933,6709818.6977241,263083.1957,6709787.9027
184,Muu,Muu,Nahtavyys,,Paimio,,"Paimion kirkko, eli Pyhän Mikaelin kirkko",,,https://www.paimionseurakunta.fi/kirkot-ja-tilat/paimion-kirkko,,134,80653,2150,Liikuntasali,Koulukeskuksen liikuntasali 3,2,92.3957552520915,263150.580325933,6709818.6977241,263096.6011,6709743.7096
185,Muu,Muu,Nahtavyys,,Paimio,,"Paimion kirkko, eli Pyhän Mikaelin kirkko",,,https://www.paimionseurakunta.fi/kirkot-ja-tilat/paimion-kirkko,,134,80223,2150,Liikuntasali,Koulukeskuksen liikuntasali 1,3,106.445886318852,263150.580325933,6709818.6977241,263047.2033,6709793.3222
186,Muu,Muu,Nahtavyys,,Paimio,,Räpälän vanhan kirkon paikka,,,,,135,,,,,,,,,,
187,Muu,Muu,Nahtavyys,,Paimio,,Pyhän Jaakobin kirkko,,,,,136,,,,,,,,,,
188,Muu,Yksityinen / yhdistys,Nakoala,,Paimio,,Näkymä Paimionjokilaaksoon,,,,,137,,,,,,,,,,
189,Muu,Yksityinen / yhdistys,Nakoala,Näkymä Kevolan peltoaukealle,Paimio,,Rekottilan linnavuori,,,,,138,,,,,,,,,,
190,Muu,Yksityinen / yhdistys,Pysakointialue,,Paimio,,Askalan pysäköintialue,,,,,139,,,,,,,,,,
191,Kunta,Kunta / muu,Pysakointialue,HUOM! P-paikat on varattu vain koulun henkilökunnan käyttöön arkisin klo 7-15.,Kaarina,,,Auranlaakso koulu,,,,140,79186,2150,Liikuntasali,Auranlaakson koulun liikuntasali,1,60.2412530785663,245421.339979275,6712608.41942186,245478.6346,6712627.0295
192,Kunta,Kunta / muu,Pysakointialue,HUOM! P-paikat on varattu vain koulun henkilökunnan käyttöön arkisin klo 7-15.,Kaarina,,,Auranlaakso koulu,,,,140,603752,1120,Lähiliikuntapaikka,Auranlaakson koulun lähiliikuntapaikka,2,77.8686733754616,245421.339979275,6712608.41942186,245474.7451,6712551.75
193,Kunta,Kunta / muu,Pysakointialue,HUOM! P-paikat on varattu vain koulun henkilökunnan käyttöön arkisin klo 7-15.,Kaarina,,,Auranlaakso koulu,,,,140,86021,1340,Pallokenttä,Auranlaakson koulun pallokenttä,3,86.4130249795482,245421.339979275,6712608.41942186,245494.5883,6712562.573
194,Kunta,,Nakoala,,Kaarina,,Muikunvuori,,,,,141,,,,,,,,,,
195,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Hovirinnan uimarannan pysäköintialue,,,,,142,99224,3220,Uimaranta,Hovirinnan uimaranta,1,53.970078349511,245390.309064287,6704469.21136136,245405.4748,6704417.4159
196,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Hovirinnan uimarannan pysäköintialue,,,,,142,611976,3240,Talviuintipaikka,Hovirinnan talviuintipaikka,2,54.1405843689806,245390.309064287,6704469.21136136,245415.9748,6704421.5409
197,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Hovirinnan uimarannan pysäköintialue,,,,,142,518016,1310,Koripallokenttä,Hovirinnan rannan koripallokenttä,3,57.9227777541959,245390.309064287,6704469.21136136,245350.213,6704427.41
198,Kunta,Kunta / muu,Aktiviteetti,,Kaarina,,Liikenne- ja leikkipuisto,Hovirinnan rantapuisto,,,,143,529975,1130,Ulkokuntoilupaikka,Hovirinnan rantapuiston ulkokuntoilulaitteet,1,92.6321744351138,245313.182512017,6704750.97661256,245230.7941,6704793.3189
199,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Hovirinnan uimaranta,,,,,144,611976,3240,Talviuintipaikka,Hovirinnan talviuintipaikka,1,29.9859121888224,245444.776173285,6704413.19609163,245415.9748,6704421.5409
200,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Hovirinnan uimaranta,,,,,144,99224,3220,Uimaranta,Hovirinnan uimaranta,2,39.5272655866327,245444.776173285,6704413.19609163,245405.4748,6704417.4159
201,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Hovirinnan uimaranta,,,,,144,518016,1310,Koripallokenttä,Hovirinnan rannan koripallokenttä,3,95.6254617391543,245444.776173285,6704413.19609163,245350.213,6704427.41
202,Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Oleskelulaituri,Rauhalinnan luontopolku,,,,145,,,,,,,,,,
203,Muu,Muu,Nahtavyys,,Kaarina,,Mökkigalleria,,,https://mokkigalleria.fi/,,146,,,,,,,,,,
204,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Voivalan uimaranta,,,,,147,513704,3220,Uimaranta,Voivalan uimaranta,1,172.050679060325,247491.979465492,6705215.53742233,247323.1556,6705182.3721
205,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Voivalan uimarannan pysäköintialue,,,,,148,,,,,,,,,,
206,Valtio,Muu,Luonnonnahtavyys,Karpanmäen lehto,Kaarina,,Karpanmäen luonnonsuojelualue,,,,,149,,,,,,,,,,
207,Muu,Muu,Nahtavyys,Ammattiopisto Livia,Kaarina,,Tuorlan kartano,"Ammattiopisto Livia, Tuorla",,,,150,518012,2150,Liikuntasali,Ammattiopisto Livian liikuntasali,1,7.23576322145386,248887.985027297,6706422.13482976,248882.3225,6706426.6395
208,Muu,,Pysakointialue,,Kaarina,,Tuorlan pysäköintialue,,,,,151,518012,2150,Liikuntasali,Ammattiopisto Livian liikuntasali,1,61.0510308440777,248942.962200518,6706433.71446207,248882.3225,6706426.6395
209,Muu,,Opastaulu,Tuorlan alueen opastaulu,Kaarina,,Ammattiopisto Livia,,,,,152,518012,2150,Liikuntasali,Ammattiopisto Livian liikuntasali,1,77.1354621463289,248952.656323664,6706458.31019259,248882.3225,6706426.6395
210,Muu,Yksityinen / yhdistys,Nahtavyys,,Kaarina,,Avaruuspuisto Väisälä,,,https://www.avaruuspuisto.fi/,,153,,,,,,,,,,
211,Muu,,Luonnonnahtavyys,Tuorlan lehtometsä,Kaarina,,Tuorlan luonnonsuojelualueet,,,,,154,,,,,,,,,,
212,Kunta,Kunta / muu,Opastaulu,Luonto- ja historiaopastaulu,Kaarina,,Kuninkaantie/ Suuri rantatie,,,,,155,,,,,,,,,,
213,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Raadelman uimaranta,,,,,156,513706,3230,Uimapaikka,Raadelman uimapaikka,1,18.7336621337994,250147.750662929,6705983.53773343,250146.1556,6705964.8721
214,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Raadelman uimarannan pysäköintialue,,,,,157,,,,,,,,,,
215,Kunta,Kunta / muu,Opastaulu,Opastaulu rautakautinen Hadvala,Kaarina,,,,,,,158,,,,,,,,,,
216,Muu,Muu,Nahtavyys,Piikkiön kirkko,Kaarina,,Piikkiön kirkko,,,,,159,518011,2350,Tanssi-/ryhmäliikuntatila,Tanssistudio Point,1,160.41282339615,253398.564792155,6707234.64259667,253310.7694,6707100.3882
217,Kunta,Kunta / muu,Opastaulu,Luontopolun infotaulu,Kaarina,,Kaarinan perintömetsän luontopolku,,,,,160,,,,,,,,,,
218,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kaarinan perintömetsän luontopolku,,,,,161,,,,,,,,,,
219,Kunta,Kunta / muu,Luontotorni,,Kaarina,,Kuusistonlahden lintutorni pohjoinen,,,,,162,606718,204,Luontotorni,Kuusistonlahden lintutorni (pohjoinen),1,0.793912675709069,250318.540800213,6704638.80476924,250317.75,6704638.875
220,Kunta,Kunta / muu,Luontotorni,Lintutorni. HUOM! valmistuu syksyllä 2024,Kaarina,,Piikkiönlahden lintutorni,,,,,163,616714,204,Luontotorni,Piikkiönlahden esteetön lintutorni,1,2.67828456175799,252213.372244901,6706522.80996062,252214.6063,6706525.187
221,Kunta,Kunta / muu,Vesillelasku,,Kaarina,Littoistenjärven melontareitti,Ristikallion uimaranta,,,,,164,99453,3230,Uimapaikka,Ristikallion uimaranta,1,6.54473569307959,246875.959551431,6710072.13815024,246882.5,6710072.375
